WSR_ID,City,State
KABR, Aberdeen, SD
KABX, Albuquerque, NM
KAKQ, Wakefield, VA
KAMA, Amarillo, TX
KAMX, Miami, FL
KAPX, Gaylord, MI
KARX, La Crosse, WI
KATX, Seattle, WA
KBBX, Beale AFB,CA
KBGM, Binghamton, NY
KBHX, Eureka, CA
KBIS, Bismarck, ND
KBLX, Billings, MT
KBMX, Birmingham, AL
KBOX, Boston, MA
KBRO, Brownsville, TX
KBUF, Buffalo, NY
KBYX, Key West, FL
KCAE, Columbia, SC
KCBW, Caribou, ME
KCBX, Boise, ID
KCCX, State College, PA
KCLE, Cleveland, OH
KCLX, Charleston, SC
KCRI, Sinton, TX
KCXX, Burlington, VT
KCYS, Cheyenne, WY
KDAX, Sacramento, CA
KDDC, Dodge City, KS
KDFX, Laughlin AFB, TX
KDIX, Fort Dix, NJ
KDLH, Duluth, MN
KDMX, Des Moines, IA
KDOX, Dover, DE
KDTX, Detroit, MI
KDVN, Davenport, IA
KDYX, Dyess AFB,TX
KEAX, Kansas City, MO
KECX, Raleigh, NC
KEMX, Tucson, AZ
KENX, Albany, NY
KEOX, Fort Rucker, AL
KEPZ, El Paso, TX
KESX, Las Vegas, NV
KEVX, Eglin AFB, FL
KEWX, New Braunfels, TX
KEYX, Edwards AFB, CA
KFCX, Roanoke, VA
KFDR, Frederick, OK
KFDX, Wichita Falls, TX
KFFC, Atlanta, GA
KFSD, Sioux Falls, SD
KFSX, Flagstaff, AZ
KFTG, Denver, CO
KFWS, DallasFort Worth, TX
KGGW, Glasgow, MT
KGJX, Grand Junction,CO
KGLD, Goodland, KS
KGRB, Green Bay, WI
KGRK, Killeen, TX
KGRR, Grand Rapids, MI
KGSP, GreenvilleSpartanburg, SC
KGWX, Columbus AFB, MS
KGYX, Gray, ME
KHDX, Holloman AFB, NM
KHGX, Houston, TX
KHNX, Hanford, CA
KHPX, Fort Campbell,TN
KHRI, Hermiston, OR
KHTX, Hytop, AL
KICT, Wichita, KS
KICX, Cedar City, UT
KILN, Wilmington, OH
KILX, Lincoln, IL
KIND, Indianapolis,IN
KINX, Tulsa, OK
KIWA, Phoenix, AZ
KIWX, Northern Indiana, IN
KJAN, Jackson, MS
KJAX, Jacksonville, FL
KJGX, Robins AFB, GA
KJKL, Jackson, KY
KLBB, Lubbock, TX
KLCH, Lake Charles, LA
KLGX, Langley Hill, WA
KLIX, New Orleans, LA
KLNX, North Platte, NE
KLOT, Chicago, IL
KLRX, Elko, NV
KLSX, St. Louis, MO
KLTX, Wilmington, NC
KLVX, Louisville, KY
KLWX, Sterling, VA
KLZK, Little Rock, AR
KMAF, Midland, TX
KMAX, Medford, OR
KMBX, Minot, ND
KMHX, Newport, NC
KMKX, Milwaukee, WI
KMLB, Melbourne, FL
KMOB, Mobile, AL
KMPX, Minneapolis, MN
KMQT, Marquette, MI
KMRX, Morristown, TN
KMSX, Missoula, MT
KMTX, Salt Lake City, UT
KMUX, San Francisco, CA
KMVX, Grand Forks, ND
KMXX, Maxwell AFB, AL
KNKX, San Diego, CA
KNQA, Millington, TN
KOAX, Omaha, NE
KOHX, Nashville, TN
KOKX, Upton, NY
KOTX, Spokane, WA
KPAH, Paducah, KY
KPBZ, Pittsburgh, PA
KPDT, Pendleton, OR
KPOE, Fort Polk, LA
KPUX, Pueblo, CO
KRAX, Raleigh, NC
KRGX, Reno, NV
KRIW, Riverton, WY
KRLX, Charleston, WV
KRMX, Griffiss AFB,NY
KRTX, Portland, OR
KSFX, Pocatello, ID
KSGF, Springfield, MO
KSHV, Shreveport, LA
KSJT, San Angelo, TX
KSOX, Santa Ana Mountains, CA
KSRX, Fort Smith, AR
KTBW, Tampa, FL
KTFX, Great Falls, MT
KTLH, Tallahassee, FL
KTLX, Oklahoma City, OK
KTMX, Hastings, NE
KTWX, Topeka, KS
KTYX, Montague, NY
KUDX, Rapid City, SD
KUEX, Kearney, NE
KVAX, Moody AFB, GA
KVBX, Vandenberg AFB, CA
KVNX, Vance AFB, OK
KVTX, Los Angeles, CA
KVWX, Evansville, IN
KYUX, Yuma, AZ
PHKI, Barking Sands,HI
PHKM, Kaunakakai,HI
PHMO, Molokai,HI
PHWA, South Point,HI